Request URL,Request type,Requests Count,"Response time MIN, s","Response time AVG, s","Response time MAX, s","Content-length MIN, kb","Content-length AVG, kb","Content-length MAX, kb"
api/search/awx_adhoclistmember,POST,2,0.81,0.8655,0.921,5406,5474.0,5542
api/search/awx_availability,POST,3,0.79,0.982,1.1320000000000001,16716,16788,16871
api/search/awx_propertysale,POST,2,0.988,1.1815,1.375,9002,9031.0,9060
api/search/connectionrole,POST,2,0.271,0.5405,0.81,2607,2651.0,2695
api/search/awx_image,POST,2,0.771,0.8515,0.932,2561,2605.0,2649
api/search/transactioncurrency,POST,2,0.631,0.646,0.661,1965,2008.0,2051
api/search/awx_commission,POST,2,0.618,0.673,0.728,2584,2629.0,2674
api/search/systemuser,POST,5,0.446,1.362,2.375,4711,4771,4929
api/search/activitypointer,POST,6,0.627,1.0270000000000001,1.928,7185,7635.5,8284
api/search/awx_leaseperiod,POST,2,0.533,0.583,0.633,2540,2600.5,2661
api/search/awx_property,POST,6,0.666,0.933,1.113,11963,14673.5,15755
api/search/activityparty,POST,2,0.601,0.616,0.631,4172,4290.5,4409
api/search/awx_adhoclist,POST,5,0.443,0.911,1.31,2927,3139,3354
api/search/list,POST,9,0.179,0.59,1.215,4104,4236,4452
api/search/opportunity,POST,9,0.417,0.96,3.428,10090,13255,14636
api/search/connection,POST,5,0.342,0.981,1.326,4497,4557,4637
"Search with SelectedTermFacets,GeoDistanceFacetFilters,SelectedNumericFacets,SelectedGeoFacets,TermFacetFilters"
api/search/awx_propertysale,POST,1,0.586,0.586,0.586,77,77,77
